Company;Company URL;HQ Location;Country;Founded;Estimated Headcount;Known Customers;Strengths;Weaknesses;Discipline;Lifecycle Phase;Workflow Segment;Subsegment;Sector Focus;Category/Function Tags;Operating Model Tags;Differentiation Tags;Manufacturing Type;Industries Served;Investment List;Subcategories;Company Group;Latest Funding Round;Startup Lifecycle Phase;Lastest Funding Event Year;Latest Event Funding Amount;Total Current Known Funding Level;Current Estimated Annual Revenue;Estimated Market Value;Financials Notes;Investors and VCs;Market Opportunity;Market Opportunity Justification;Team & Execution;Team & Execution Justification;Technology Differentiation;Technology Differentiation Justification;Funding Efficiency;Funding Efficiency Justification;Growth Metrics;Growth Metrics Justification;Industry Impact;Industry Impact Justification;Competitive Moat;Competitive Moat Justification
Cerrion;https://www.cerrion.com;Zurich, Switzerland;🇨🇭 Switzerland;2021;20;Unilever, Riedel, Schott Zwiesel, Stolzle Lausitz, Sisecam, Verallia;AI video agents for real-time production line monitoring, deployed at major manufacturers, strong Series A ($18M);Relatively small team, Europe-focused so far, competing with established MES/vision players;Factory Operations;Scaling;Monitoring;Production Line Video AI;Manufacturing;AI, Computer Vision, Video Analytics, Factory Monitoring;SaaS;AI Video Agents That Detect and Auto-Resolve Production Issues;Process Manufacturing;Glass, Food, Timber, CPG;04-Factory Futures (MES, IIOT);AI Video Inspection, Production Monitoring, Downtime Reduction;Factory Video AI Agents;Series A;Scaling;2025;18000000;18000000;0;54000000;EUR 15.6M ($18M) Series A Nov 2025, ETH Zurich engineering team;Creandum, Y Combinator, Goat Capital (Justin Kan), 10x Founders, Session VC, Harry Stebbings (20VC);4.0;Factory downtime costs $1.4T/yr globally - massive addressable pain;3.5;ETH Zurich/Google/EPFL team with named enterprise customers;4.0;Video AI agents that autonomously intervene (not just detect) is differentiated;3.5;$18M Series A with real enterprise deployments;3.0;Deployed at 6+ named manufacturers across industries;4.0;Directly addresses $1.4T factory downtime problem;3.0;Video-first approach differentiated but vision AI is competitive
Charge Robotics;https://chargerobotics.com;Oakland, USA;🇺🇸 United States;2021;25;N A;$39.1M raised, MIT-founded, Sunrise autonomous solar construction robot proven in pilots, strong climate-tech investor base;Narrow solar-only vertical, hardware-intensive, seasonal construction cycles;Renewable Energy Construction;Scaling;Construction;Solar Farm Assembly;Energy;Robotics, Solar, Construction Automation, Climate Tech;Hardware, YC;Autonomous Mobile Robot for Solar Tracker Hardware Assembly;Heavy Construction;Solar Energy, Renewable Energy;09-SW+HW=Innovation (Robotics, Drones);Solar Construction Robotics, Renewable Energy Automation;Solar Farm Construction Robot;Series B;Scaling;2025;22000000;39100000;0;117300000;$39.1M total over 4 rounds, Series B $22M Mar 2025;Climate Capital, Y Combinator, MCJ Collective, Gaingels, UpHonest Capital, E14 Fund, FoundersX Ventures, Hummingbird Ventures, Soma Capital;4.0;Massive solar buildout globally creates strong tailwind;3.5;MIT founders, 25-person team, proven pilot deployments;3.5;Autonomous mobile solar assembly robot is specialized and proven;3.0;$39M for hardware robotics is reasonable;2.5;Pilot projects completed but scaling commercially;4.0;Solar labor shortage makes automation critical;3.0;Specialized vertical focus and proven hardware create moderate moat
Cortex AI;https://cortexrobot.ai;San Francisco, USA;🇺🇸 United States;2025;4;N A;$6M seed from Matrix Partners, founder scaled Carousell to $1B+, large-scale real-world robot data approach;Very early company (founded 2025), small team, data business model unproven for robotics;Robotics Data;Concept/Prototype;Data Collection;Robot Training Data;Robotics;AI, Robotics, Data, Embodied AI, Foundation Models;Platform;Real-World Egocentric and Robot Trajectory Data for Foundation Models;N A;Robotics, AI;09-SW+HW=Innovation (Robotics, Drones);Robot Data Collection, Embodied AI Training;Real-World Robot Data Platform;Seed;Pre-Seed;2025;6000000;6000000;0;18000000;$6M seed Dec 2025, serves frontier robotics labs;Y Combinator, Matrix Partners, 500 Global;4.0;Embodied AI data is critical bottleneck for robot foundation models;3.0;$1B+ company builder (Carousell) but pivoting to robotics;3.5;Real-world workplace data with annotations is scarce and valuable;3.0;$6M seed is solid for data-focused startup;1.5;Very early with no visible revenue;3.5;Could be key enabler for general-purpose robot development;2.5;Data moat grows with collection but competitors emerging
Daedalus;https://daedalus.com;Karlsruhe, Germany;🇩🇪 Germany;2019;80;N A;$40M raised, ex-OpenAI first engineer as founder, AI-powered CNC precision manufacturing, YC alum;Single factory in Karlsruhe limits scale, capital-intensive manufacturing business, competing with established job shops;Precision Manufacturing;Scaling;Manufacturing;CNC Machining;Manufacturing;AI, CNC, Precision Manufacturing, Factory Automation;Manufacturing-as-a-Service;AI-Controlled CNC With Robotic Material Flow;Subtractive Manufacturing;Medical Devices, Aerospace, Defense, Semiconductors;03-Adaptive Manufacturing (AM, CAM);AI CNC Manufacturing, Precision Parts;AI-Powered Precision Manufacturing;Series A;Scaling;2024;21000000;40000000;0;120000000;$40M total, $21M Series A led by NGP Capital Feb 2024;Khosla Ventures, Addition, NGP Capital, Y Combinator;4.0;Massive precision manufacturing market underserved by software;4.0;OpenAI first engineer + $40M funding + 80 employees;3.5;AI-optimized CNC with full robotic automation;3.0;$40M for manufacturing startup is reasonable;3.0;Customer demand exceeding capacity several times over;4.0;Could transform $200B+ precision parts industry;3.0;AI + automation expertise but manufacturing is replicable
Datch;https://www.datch.io;San Francisco, USA;🇺🇸 United States;2018;34;ConEd, Singapore Airlines, ABB Robotics, New York Power Authority;$28.7M raised, voice-visual AI for industrial frontline workers, deployed at major utilities and manufacturers;Headcount appears to be declining (34 to possibly fewer), crowded industrial AI space;Industrial Operations;Growth;Maintenance;Voice-Visual AI for Frontline Workers;Industrial;AI, Voice AI, NLP, Industrial IoT, Asset Management;SaaS;Natural Language Voice-Visual AI for Hands-Free Industrial Data;N A;Utilities, Aviation, Manufacturing;06-Augmented Operations (MOM, MRO, AR/VR, SLM);Industrial Voice AI, Frontline Worker Tools, Asset Management;Voice-Visual Industrial AI;Series A;Growth;2024;15000000;28700000;3500000;24500000;$28.7M over 6 rounds, $3.5M revenue 2024, founded in UK 2018 now US-based;Third Prime, Blackhorn Ventures, Blue Bear Capital, SIG, Stage Venture Partners, Plug and Play Ventures;3.0;Industrial frontline digitization market growing but competitive;3.0;Experienced international team but signs of headcount reduction;3.0;Voice-visual AI for industrial context is differentiated;2.5;$28.7M raised with only $3.5M revenue after 7 years;2.5;$3.5M revenue but slow growth relative to funding;3.0;Addresses real pain point for frontline industrial workers;2.5;Voice AI is increasingly commoditized by LLM advances
Desktop Metal;https://desktopmetal.com;Burlington, United States;🇺🇸 United States;2015;400;Ford, BMW, Google ATAP, Stanley Black and Decker, Goodyear, 3M, Medtronic, Continental AG, ProtoLabs, Owens Corning, US Department of Defense;Pioneer in metal 3D printing with binder jetting and bound metal deposition, broad customer base across automotive aerospace defense, went public via SPAC in 2020;Filed Chapter 11 bankruptcy in 2025 after Nano Dimension acquisition collapsed, assets sold for under $20M, massive value destruction from $2.5B SPAC peak;Mechanical Engineering;Production;Additive Manufacturing;Metal 3D Printing;Additive Manufacturing, Metal 3D Printing, Binder Jetting, Mass Production AM;Platform, Hardware+Software;First office-friendly metal 3D printer, Production-speed binder jetting;Discrete;N A;Automotive, Aerospace, Defense, Medical Devices, Consumer Products, Energy;11-Exit;Metal AM Systems, Binder Jetting, Bound Metal Deposition;Desktop Metal;Acquisition (Nano Dimension 2025);Decline / Exit;2025;179300000;438000000;190000000;0;Acquired by Nano Dimension for $179.3M in 2025 then filed Chapter 11 bankruptcy, assets liquidated for under $20M;NEA, GV (Google Ventures), BMW iVentures, Ford Motor Company, Kleiner Perkins, Lux Capital, Saudi Aramco Energy Ventures, GE Ventures, Techtronic Industries, KDT;3.5;Large TAM in metal AM for mass production but market slower to develop than expected;3.0;Strong founding team from MIT but execution faltered post-SPAC with integration challenges;4.0;Pioneering binder jetting and bound metal deposition technologies with strong IP portfolio;1.0;Raised $438M+ in VC plus SPAC proceeds yet ended in bankruptcy - catastrophic capital destruction;1.5;Revenue peaked at $190M but company could not achieve profitability;3.5;Helped legitimize metal 3D printing for production applications across multiple industries;1.0;No remaining moat after bankruptcy and asset liquidation
Diode Computers;https://www.diode.computer;New York, United States;🇺🇸 United States;2024;5;N A;AI-automated PCB design end-to-end with composable reusable modules, backed by a16z and YC, novel approach treating PCB design as software problem;Very early stage with only 3-5 employees and $330K revenue, unproven at scale, narrow focus on PCB design;Electrical Engineering;Design;Electronic Design Automation;PCB Design Automation;EDA, PCB Design, Generative AI, Circuit Board Automation;SaaS, AI-Native;AI-generated PCB modules in seconds instead of days, end-to-end design ownership;Discrete;N A;Electronics, Hardware, Consumer Electronics, IoT, Telecommunications;01-Design Intelligence (CAD);AI PCB Design, Electronic Design Automation;Diode Computers;Series A;Seed;2025;11400000;14000000;330000;98000000;Series A led by a16z for $11.4M, total raised ~$14M;Andreessen Horowitz, Y Combinator, Caffeinated Capital, BoxGroup, Soma Capital, Vento;4.0;EDA market is large ($15B+) and ripe for AI disruption in PCB design workflows;3.5;Founders have deep electronics engineering background, a16z backing validates potential;4.5;Novel generative AI approach to PCB layout with composable module architecture;3.0;Early revenue of $330K on $14M raised - still pre-product-market fit;2.0;Very early with minimal revenue traction;3.5;Could dramatically reduce PCB design time from weeks to hours;3.0;AI-first approach is differentiating but EDA incumbents (Cadence, Altium) could replicate
Doxel;https://doxel.ai;Menlo Park, United States;🇺🇸 United States;2015;80;Corscale;AI-powered automated construction progress tracking using 360 video and computer vision, strong investor base with a16z and Insight Partners;Revenue growth has been slow ($3.9M in 2024), construction industry is slow to adopt new tech, competitive market with Buildots and others;Civil Engineering;Construction;Construction Management;Progress Tracking & Analytics;Computer Vision, Construction AI, Progress Tracking, Schedule Analytics;SaaS, AI-Native;Automated 360 video analysis comparing actual vs planned construction progress;N A;N A;Construction, Data Centers, Commercial Real Estate;08-Bleeding Edge BIM (AEC/BIM);Construction Progress AI, Visual Analytics;Doxel;Series B;Growth;2021;40000000;56500000;3900000;27300000;Revenue was $3.9M in 2024, up from $2M in 2023;Insight Partners, Andreessen Horowitz, Amplo, Mindset Ventures, Rainfall Ventures;3.5;Large construction tech market but adoption cycles are long;3.0;Experienced team of engineers and construction veterans, strong backers;3.5;Computer vision for automated progress tracking is technically sophisticated;2.0;$3.9M revenue on $56.5M raised indicates slow monetization;2.5;Revenue doubled from $2M to $3.9M but still modest for funding level;3.0;Improving construction project visibility and reducing delays;2.5;Technology is replicable and faces competition from Buildots and OpenSpace
Drishti Technologies;https://drishti.com;Mountain View, United States;🇺🇸 United States;2017;80;Flex, DENSO, Toyota, Ford, Nissan, Apple, Hella, Deloitte;Pioneering AI video analytics for manual assembly lines, strong automotive customer base, validated by Apple acquisition;Acquired by Apple in 2023 - no longer independent, limited to Apple ecosystem now;Industrial Engineering;Production;Quality & Process Monitoring;Assembly Line Video Analytics;Computer Vision, Manufacturing AI, Video Analytics, Assembly Line Optimization;SaaS, AI-Native;AI-powered video digitization of human actions on manual assembly lines;Discrete;N A;Automotive, Electronics Manufacturing, Medical Devices;11-Exit;Manufacturing Video Analytics, Assembly AI;Drishti Technologies;Acquisition (Apple 2023);Exit;2023;0;35440000;N A;0;Acquired by Apple in December 2023, terms undisclosed;Emergence Capital, Andreessen Horowitz, Sozo Ventures, Alpha Intelligence Capital, Toyota AI Ventures, Micron Ventures, Presidio Ventures, HELLA Ventures, Benhamou Global Ventures;4.0;Large market for manufacturing quality and efficiency improvement via AI;3.5;Strong technical team validated by Apple acqui-hire;4.0;Unique approach to digitizing manual assembly actions via video AI;3.0;$35.4M raised with Apple exit - moderate return likely;N A;N A;4.0;Meaningfully improved assembly line visibility for major automotive OEMs;3.0;Technology now absorbed into Apple - no independent moat remains
Duranium;https://www.duranium.co;Alameda, United States;🇺🇸 United States;2025;4;N A;Novel carbochlorination reactor that recycles CO2 and produces critical metals at Chinese-level pricing without subsidies, strong defense relevance for reshoring;Pre-revenue deep tech startup with only 4 employees, unproven at commercial scale, capital-intensive manufacturing process;Materials Science;Production;Materials Processing;Critical Metal Production;Advanced Materials, Critical Minerals, Reshoring, Clean Manufacturing;Deep Tech, Hardware;Closed-loop CO2 recycling reactor for titanium magnesium zirconium production at competitive cost;Process;N A;Defense, Aerospace, Automotive, Energy;03-Adaptive Manufacturing (AM, CAM);Critical Metals, Advanced Materials Processing;Duranium;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;YC W26 batch, $500K from YC and FundersClub;Y Combinator, FundersClub;4.5;Critical mineral reshoring is a top US national security priority with massive government funding;3.0;CEO is ex-McKinsey/Goldman with DoD advisory experience, CTO holds electrochemical patents;4.0;Patented electrochemical metal cell and novel closed-loop carbochlorination process;N A;Too early to evaluate - pre-revenue deep tech;1.0;Pre-revenue with no commercial production yet;4.0;Could meaningfully reduce US dependence on Chinese critical mineral supply chains;3.5;Patent-protected process with potential cost advantage over existing methods
Efference;https://efference.ai;San Francisco, United States;🇺🇸 United States;2024;4;N A;Bio-inspired stereo vision cameras treating robotic vision as software problem, strong neuroscience foundation from Princeton and Harvard Medical School research;Very early stage with minimal funding and small team, unproven in market, competing against established machine vision players;Computer Science;Design;Robotics Perception;3D Vision Systems;Robotic Vision, Stereo Cameras, Computer Vision, Edge AI;Hardware+Software, AI-Native;Human-vision-modeled passive stereo cameras with 5MP global shutter RGBD at edge;Discrete;N A;Robotics, Autonomous Vehicles, Logistics, Field Robotics;09-SW+HW=Innovation (Robotics, Drones);Robotic Vision, 3D Perception;Efference;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;YC F25 batch with standard $500K investment;Y Combinator;3.5;Growing demand for better robot perception as robotics market expands rapidly;3.0;Founder has strong neuroscience and ML research background from Princeton and Harvard;4.0;Bio-inspired approach to stereo vision differentiates from traditional machine vision;N A;Too early to evaluate with only YC funding;1.0;Pre-revenue pre-product stage;3.0;Could improve robotic perception quality for autonomous systems;2.5;Early-stage with no proven commercial moat yet
Eigen Innovations;https://eigen.io;Fredericton, Canada;🇨🇦 Canada;2012;22;N A;Specialized AI thermal imaging for inline manufacturing quality inspection, long operating history since 2012, backed by Momenta with deep manufacturing focus;Small revenue ($2M) after 13+ years of operation, limited scale and market penetration, narrow focus on thermal inspection;Industrial Engineering;Production;Quality & Process Monitoring;Thermal Imaging Inspection;AI Inspection, Thermal Imaging, Quality Management, Manufacturing Analytics;SaaS, AI-Native;AI-driven thermal imaging for automated inline quality inspection in manufacturing;Process;N A;Plastics, Metals, Building Materials, Manufacturing;04-Factory Futures (MES, IIOT);AI Quality Inspection, Thermal Analytics;Eigen Innovations;Series A;Growth;2024;2600000;14600000;2000000;14000000;$2M annual revenue, Series A in Oct 2024 led by Momenta;Momenta, BDC Capital, TLT East Ventures, Celtic House Asia Partners, Canadian Space Agency, Globalive Capital;3.0;Manufacturing quality inspection is important but niche market for thermal-only approach;2.5;Long-tenured team but slow growth trajectory after 13 years;3.5;Specialized thermal imaging AI for manufacturing is technically differentiated;1.5;$14.6M raised over 13 years with only $2M revenue indicates poor capital efficiency;1.5;$2M revenue after 13 years of operation is very slow growth;2.5;Improves manufacturing quality for plastics and metals but limited scale;2.0;Thermal inspection niche is narrow and larger players could enter easily
Electric Twin;https://www.electrictwin.com;London, United Kingdom;🇬🇧 United Kingdom;2023;15;N A;AI synthetic audience platform generating consumer insights 10000x faster than traditional methods with 95% accuracy validated by LSE research;NOT an engineering or manufacturing company - focused on market research and consumer insights, no industrial digital twin capability;Market Research;N A;Consumer Intelligence;Synthetic Audiences;Synthetic Audiences, Consumer AI, Market Research, Predictive Analytics;SaaS, AI-Native;LLM-powered synthetic audience simulations validated against real survey data;N A;N A;Market Research, Advertising, Strategy Consulting;11-Exit;N A;Electric Twin;Seed;Seed;2026;10000000;14000000;N A;98000000;$14M total ($4M pre-seed + $10M seed led by Atomico). NOTE: This is NOT an engineering/industrial company;Atomico, LocalGlobe, Mercuri, Samos Investments, Marc Andreessen (angel);N A;Not in engineering/industrial AI scope;N A;Not in engineering/industrial AI scope;N A;Not in engineering/industrial AI scope;N A;Not in engineering/industrial AI scope;N A;Not in engineering/industrial AI scope;N A;Not in engineering/industrial AI scope;N A;Not in engineering/industrial AI scope
Ember Robotics;https://www.emberrobotics.com;San Francisco, United States;🇺🇸 United States;2024;4;N A;Real-time edge diagnostics for robot sensors built by ex-Tesla Autopilot engineers, supports multiple embedded platforms (Jetson, RPi, Intel NUC);Very early stage with only $500K YC funding and 4 employees, unproven product-market fit, niche diagnostic tooling market;Computer Science;Operations;Robotics Operations;Robot Sensor Diagnostics;Robotics Diagnostics, Edge Computing, Sensor Validation, DevOps for Robots;SaaS, AI-Native;Real-time edge-based fault detection for robot sensors without network dependency;Discrete;N A;Robotics, Autonomous Vehicles, Drones, Field Robotics;09-SW+HW=Innovation (Robotics, Drones);Robot Diagnostics, Edge Monitoring;Ember Robotics;Pre-Seed;Pre-Seed;2024;500000;500000;0;1500000;YC-backed with $500K seed investment;Y Combinator;3.5;Growing robotics fleet creates demand for monitoring and diagnostics tooling;3.5;Both founders are ex-Tesla Autopilot with deep camera and CV experience;3.5;Edge-first diagnostics for robot sensors is an underserved niche;N A;Too early to evaluate with only YC funding;1.0;Pre-revenue pre-product stage;3.0;Could reduce robot downtime and improve reliability for autonomous fleets;2.5;Early stage with no proven moat yet - larger players could build similar tooling
Encube;https://www.getencube.com;Stockholm, Sweden;🇸🇪 Sweden;2021;23;Volvo Group, Beyond Gravity, Scania;AI platform embedding manufacturing intelligence into engineering workflows, validated by major industrial customers (Volvo, Scania), strong funding from Kinnevik;Still early with limited market penetration outside Nordics, competing against established PLM vendors, relatively small team for ambitious scope;Mechanical Engineering;Design;Design for Manufacturing;Manufacturing Intelligence Platform;DfM, Collaborative Engineering, Manufacturing AI, Design Optimization;SaaS, AI-Native;AI-embedded manufacturing data across hardware types to detect downstream complexity issues;Discrete;N A;Automotive, Aerospace, Defense, Industrial Equipment;01-Design Intelligence (CAD);DfM Platform, Manufacturing Intelligence;Encube;Seed;Seed;2025;23000000;23000000;N A;69000000;$23M seed round from Kinnevik, Inventure, Promus Ventures (Oct 2025);Kinnevik, Inventure, Promus Ventures;4.0;Large market for reducing manufacturing complexity and improving hardware design efficiency;3.5;Founded by former Sandvik/Aker exec and Skype/Klarna veteran with deep domain expertise;4.0;Unique approach embedding manufacturing constraints directly into engineering design workflows;3.0;$23M seed is substantial but no revenue data yet to evaluate efficiency;2.0;Customer validation from Volvo and Scania but no revenue figures disclosed;4.0;Claims 50% time-to-market reduction and 20-30% cost savings for hardware teams;3.5;Deep manufacturing data moat and early enterprise customer relationships
Facilis AI;https://www.facilis.ai;Ann Arbor, United States;🇺🇸 United States;2022;10;N A;Agentic AI platform purpose-built for manufacturing analytics and process control, addresses the gap between IoT data collection and actionable insights;Very early stage with only pre-seed funding from Plug and Play, no disclosed revenue or named customers, crowded manufacturing AI space;Industrial Engineering;Production;Manufacturing Analytics;Process Optimization;Manufacturing AI, Agentic AI, Process Control, Industrial Analytics;SaaS, AI-Native;Autonomous AI agents that decompose complex manufacturing problems into specialized sub-agents;Process;N A;Chemicals, Food Manufacturing, Mining, Energy, Pharmaceuticals, Semiconductors, Automotive;04-Factory Futures (MES, IIOT);Manufacturing Analytics, Agentic Process AI;Facilis AI;Pre-Seed;Pre-Seed;2024;0;0;0;0;Pre-seed from Plug and Play (amount undisclosed);Plug and Play;3.5;Manufacturing analytics is a large and growing market driven by Industry 4.0;2.5;Team has Google, AWS, Siemens backgrounds but limited track record as founders;3.5;Agentic AI approach to manufacturing is novel but unproven at scale;N A;Funding amount undisclosed - cannot evaluate;1.0;No disclosed revenue or customer traction;3.0;Potential to bridge the gap between IoT data collection and actionable manufacturing insights;2.0;Early stage with no proven moat against larger industrial AI competitors
Field AI;https://www.fieldai.com;Irvine, United States;🇺🇸 United States;2023;171;N A;Universal robot autonomy brain backed by $405M from Bezos, Gates, NVIDIA, Temasek at $2B valuation, team from DeepMind SpaceX Tesla NASA;Very high burn rate implied by massive fundraise, technology is complex and unproven at scale, broad ambitions may lack focus;Computer Science;Operations;Autonomous Systems;Robot Intelligence Platform;Embodied AI, Foundation Models, Autonomous Robotics, Robot Navigation;Platform, AI-Native;Embodiment-agnostic autonomy foundation models enabling robots to navigate without maps or GPS;Discrete;N A;Construction, Energy, Logistics, Mining, Defense;09-SW+HW=Innovation (Robotics, Drones);Robot Foundation Models, Embodied AI;Field AI;Series B;Growth;2025;314000000;405000000;N A;2000000000;$2B valuation, $405M total raised ($314M latest round co-led by Bezos Expeditions, Prysm, Temasek);Bezos Expeditions, NVentures (NVIDIA), Gates Frontier, Temasek, Prysm, Khosla Ventures, Canaan Partners, Intel Capital, Emerson Collective, BHP Ventures, Samsung;5.0;Massive TAM in universal robot autonomy across construction, energy, logistics, defense;4.5;World-class team from DeepMind, SpaceX, Tesla Autopilot, NASA, Amazon;5.0;Foundation model approach to robot autonomy is cutting-edge and highly differentiated;3.0;$405M raised at $2B valuation - needs massive revenue to justify;2.5;Rapid customer adoption reported but no revenue figures disclosed;4.5;Could enable autonomous operation across entire robotics industry;4.0;Foundation model approach and massive funding create significant barriers to entry
Flywheel AI;https://useflywheel.ai;San Francisco, United States;🇺🇸 United States;2023;5;N A;Machine-agnostic retrofit kit for remote excavator operation with autonomous training data collection, addresses critical construction workforce shortage;Very early stage with minimal funding, unproven technology at scale, regulatory challenges for remote-operated heavy equipment;Mechanical Engineering;Operations;Construction Automation;Remote Equipment Operation;Teleoperation, Construction Robotics, Autonomous Excavation, Heavy Equipment AI;Hardware+Software, AI-Native;Low-latency remote teleop retrofit for hydraulic equipment with autonomous policy training;N A;N A;Construction, Mining, Infrastructure;09-SW+HW=Innovation (Robotics, Drones);Construction Teleoperation, Autonomous Excavation;Flywheel AI;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;YC S25 batch, Pioneer Fund participated in pre-seed;Y Combinator, Pioneer Fund;4.0;Global construction workforce shortage and aging demographics create urgent demand;3.0;CEO built robotic kiosk and sold robots to ISRO, CTO is ex-Motional senior robotics engineer;3.5;Machine-agnostic retrofit approach is practical and differentiating vs purpose-built solutions;N A;Too early to evaluate with only YC-level funding;1.0;Pre-revenue pre-product stage;3.5;Could meaningfully address construction labor shortage with remote and autonomous operation;2.5;Early stage - retrofit approach is replicable by larger construction tech players
Forge Automation;https://forgeautomation.ca;Toronto, Canada;🇨🇦 Canada;2022;8;N A;Software-enabled CNC parts in 4 days vs industry standard 2-3 weeks, shipped thousands of parts to Fortune 10 companies and startups, YC-backed;Limited to 3-axis CNC milling currently, Canada-only manufacturing, competing against established rapid prototyping services;Mechanical Engineering;Production;CNC Manufacturing;Rapid CNC Parts;CNC Manufacturing, CAM Software, Rapid Prototyping, On-Demand Manufacturing;SaaS + Manufacturing, AI-Native;Foundry software auto-generates machine-ready toolpaths from CAD models for 4-day CNC delivery;Discrete;N A;Automotive, Aerospace, Robotics, Hardware Startups, Consumer Products;03-Adaptive Manufacturing (AM, CAM);Rapid CNC, Software-Enabled Manufacturing;Forge Automation;Pre-Seed;Seed;2025;500000;500000;N A;1500000;YC W25 batch with standard $500K investment;Y Combinator;3.5;Large on-demand CNC parts market with clear pain point around lead times;3.0;CEO has 10+ years machining experience plus Apple, Formlabs, iRobot internships;3.0;CAM software automation (Foundry) differentiates but CNC machining itself is commoditized;N A;Too early to evaluate with only YC funding;2.0;Has shipped thousands of parts indicating real traction;3.0;Meaningfully reduces lead time for mechanical engineers needing custom metal parts;2.0;Software-enabled manufacturing is differentiating but low barriers to replication
Forge Robotics;https://forge-robotics.com;Galway, Ireland;🇮🇪 Ireland;2024;4;N A;AI vision system for autonomous welding robots addressing critical welder shortage, long-term vision for universal factory OS, YC-backed;Pre-product with first launch planned July 2026, only $500K funding, very small team, competing against established welding automation vendors;Mechanical Engineering;Production;Welding Automation;Autonomous Welding;Robotic Welding, Computer Vision, Manufacturing AI, Factory Automation;Hardware+Software, AI-Native;Robot-mounted vision and AI feature detection creating real-time 3D maps for autonomous welding;Discrete;N A;Steel Fabrication, Metal Manufacturing, Automotive, Shipbuilding;04-Factory Futures (MES, IIOT);Autonomous Welding, Intelligent Automation;Forge Robotics;Pre-Seed;Pre-Seed;2025;500000;500000;0;1500000;$500K from YC programme, previously in PorterShed AI Venture Forge accelerator;Y Combinator;4.0;Global welder shortage is acute with large TAM in welding automation;3.0;CEO has mechanical engineering and steel fabrication background, CTO published in IEEE with Analog Devices and Valeo experience;3.5;AI vision for scan-interpret-weld pipeline enables autonomous operation on imperfect setups;N A;Too early to evaluate with only YC funding;1.0;Pre-product with first launch planned for July 2026;3.5;Could address critical skilled welder shortage in metal fabrication;2.5;Early stage with no commercial product yet - established players like Path Robotics compete
Formant;https://formant.io/;San Francisco, USA;🇺🇸 United States;2017;35;Blue River (John Deere), Burro, SoftBank Robotics America;Cloud robotics platform supporting multi-vendor fleet management and data analytics across diverse robot types;Crowded fleet management space with larger competitors like AWS IoT and Freedom Robotics;Robotics;Operations;Fleet Management;Robot Teleoperation and Data Analytics;Cross-Industry;Cloud Robotics, Fleet Management, Data Analytics, Teleoperation;SaaS, Platform;Vendor-Agnostic Multi-Robot Fleet Management;N A;Agriculture, Energy, Logistics, Healthcare, Retail;09-SW+HW=Innovation (Robotics, Drones);Cloud Robotics Platform, Fleet Analytics;Formant;Series B;Growth;2023;21000000;45250000;N A;316750000;Series B $21M in Oct 2023 led by BMW i Ventures;BMW i Ventures, Intel Capital, SignalFire, Hillsven Capital, Pelion Venture Partners, Goodyear Ventures, Ericsson Ventures, GS Futures, PICUS Capital, Thursday Ventures;3.5;Growing robotics fleet management market across industries;3.5;Strong founding team from Google robotics with proven product;3.5;Unified platform for heterogeneous robot fleets is differentiated;3.0;$45M raised for niche fleet management platform;3.0;Moderate growth with notable enterprise partnerships;3.5;Enabling scalable robot deployments across sectors;3.0;Platform stickiness but faces competition from hyperscalers
Fort Robotics;https://www.fortrobotics.com/;Philadelphia, USA;🇺🇸 United States;2018;52;550+ customers including 60+ Fortune 1000 companies;Pioneering safety and security platform for autonomous machines with 27 patents and 12000+ units deployed;Declining headcount from 88 to 52 suggests operational challenges;Robotics;Operations;Safety & Security;Machine Safety and Cybersecurity;Cross-Industry;Functional Safety, Cybersecurity, Autonomous Systems, Remote Control;Platform, Hardware+Software;Safety-First Approach to Autonomous Machine Control;N A;Warehousing, Construction, Agriculture, Transportation, Mining;09-SW+HW=Innovation (Robotics, Drones);Machine Safety Platform, Autonomous Safety;Fort Robotics;Series B;Growth;2025;18900000;60500000;N A;181500000;Series B extension $18.9M in Aug 2025 led by Tiger Global bringing total to $60.5M;Tiger Global, Prime Movers Lab, Mark Cuban, FundersClub, Creative Ventures, GRIDS Capital, Ahoy Capital, Neman Ventures, Mana Ventures, Gaingels, Ryuu Co;4.0;Critical safety infrastructure for autonomous machines is essential as automation scales;3.5;550 customers and 12000 units deployed demonstrate market traction;4.0;27 patents in machine safety and cybersecurity create strong IP moat;3.0;$60.5M raised with headcount reduction suggests pivot to efficiency;3.5;550 customers across industries shows solid adoption;4.0;Directly addresses safety gap in autonomous machine deployment;4.0;Patent portfolio and safety certification requirements create high barriers
