Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Ecosystem SW/Platform Compatibility,Programming Languages, Browser-based,Modeling Paradigms & Protocols,Graphics Kernel,Category/Function Tags,Deployment Model,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment Thesis,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Best Available Valuation,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?,Investors copy,Company Overview (Company),Technology Independence Score,Growth Momentum Tier,Buyer Persona,Ecosystem Dependencies,Data Completeness
Cusp AI,https://cuspai.com,"Cambridge, UK",United Kingdom 🇬🇧,2023,23,"Hyundai Motor Group, Meta, Kemira",AI-driven materials discovery platform,Early-stage tech risk high research intensity,Materials AI,Complete Lifecycle,PLM & Digital Thread,AI Materials Platform,Materials science AI,data formats not deep CAD PLM,,checked,"OSLC,REST API",N/A,Materials,Cloud,"Direct Sales,Enterprise,Horizontal,International,SaaS,Subscription","AI for R&D,Deep Domain Expertise,Proprietary AI Models,Proprietary Datasets,Domain-specific Workflows,Physics-informed AI","Discrete Manufacturing,Process Industries","High-Tech & Electronics,Pharma,Regulated Industries","System of Record Enhancement,Physics & Domain AI","Cognitive Thread (PLM, MBSE, DT)",Materials & Formulation Intelligence,Scaleup Expanders,Series C,Expansion Stage,2025,$100000000.0,$130000000.0,$7500000.0,$520000000.0,AI for molecular/material design; strong deep‑tech team and early pharma interest; seed/Series A deep‑tech multiple.,"New Enterprise Associates,Temasek,NVentures (NVIDIA),Samsung Ventures,Hyundai Motor Group,Basis Set Ventures,FJ Labs,Giant Ventures,LocalGlobe,Northzone,Prosus Ventures,Tiferes Ventures,Touring Capital,Hoxton Ventures,Lightspeed Venture Partners,Mehdi Ghissassi,Durk Kingma,Zoubin Ghahramani,Arash Ferdowsi,Thomas Wolf,Victor Riparbelli",4.5,Deep reinforcement learning for material simulation,3.5,Young organisation; leadership still building track record.,4.5,Novel AI methodology in materials discovery. Differentiated by molecular‑search‑engine approach.,4.0,Fastest to scale materials AI,3.5,Market-wide research and pharma demand,4.0,Clear differentiation in AI for chemistry,4.0,Deep reinforcement learning moat in materials,4.05,Chad Edwards,,,"New Enterprise Associates, Temasek, NVentures (NVIDIA), Samsung Ventures, Hyundai Motor Group, Basis Set Ventures, FJ Labs, Giant Ventures, LocalGlobe, Northzone, Prosus Ventures, Tiferes Ventures, Touring Capital, Hoxton Ventures, Lightspeed Venture Partners, Mehdi Ghissassi, Durk Kingma, Zoubin Ghahramani, Arash Ferdowsi, Thomas Wolf, Victor Riparbelli",,55.0,Accelerating,R&D Leadership,None,3/4
OpenBOM,https://openbom.com,"Redwood City, CA, USA",United States 🇺🇸,2015,25,"NVTS Global, Displace TV, FENCEQIP, CanMet, Bridge Appliances, LexxPluss, VarTech, TTM Advanced Manufacturing Group (AMG)","Cloud BOM and PLM, real-time product structure & change management, integrates with CAD (SolidWorks, Onshape, Inventor, etc.)",Smaller vendor vs full PLM; fewer advanced features,PLM,Complete Lifecycle,PLM & Digital Thread,Cloud-based PLM/BOM management,Digital Thread/PLM,"SolidWorks, Inventor, Fusion 360, Onshape",,checked,"OSLC,REST API",N/A,"PLM,BOM Management,Manufacturing Software,Engineering Software,Document Management,Workflow Automation,Collaboration","Cloud,Plugin","B2B,Global,Horizontal,Product-led Growth,SaaS,Subscription","Digital Thread,Cloud-native Workflow,Real-time Collaboration,Single Source of Truth,Deep Integrations,Collaborative BOM",Discrete Manufacturing,"Aerospace & Defense,Automotive,High-Tech & Electronics,Industrial Equipment","System of Record Enhancement,Agentic Orchestration","Cognitive Thread (PLM, MBSE, DT)",AI-Native PLM & Digital Thread Platforms,Startup Raisers,Seed,Seed Stage,2018,$4000000.0,$4000000.0,$5000000.0,$45000000.0,"SaaS PLM, modest growth, moderate funding","Vic Sanchez, Anatoly Savin",3.9,"OpenBOM provides cloud-based product lifecycle management (PLM) and bill of materials (BOM) solutions for manufacturing, engineering, and supply chain teams—a segment of the global PLM software market, which is projected to reach $75.87 billion by 2030, growing at a CAGR of 8.2% (Fortune Business Insights, 2023). The company’s focus on digital transformation for distributed manufacturing and supply chain collaboration positions it within a large, rapidly expanding sector driven by Industry 4.0 adoption.",4.3,"OpenBOM’s founder Oleg Shilovitsky is a seasoned entrepreneur with prior exits (Inforbix acquired by Autodesk) and deep PLM/BOM sector expertise (ex-Autodesk executive). The team includes experienced SaaS and engineering leaders per LinkedIn. Notable advisors include industry veterans like Jim Brown (Tech-Clarity). OpenBOM has announced integrations with major platforms (Autodesk, SolidWorks, Onshape) and partnerships with Dassault Systèmes and others. Customer case studies feature companies like L3Harris and Kichler Lighting. Recent product milestones include advanced CAD integrations and real-time collaboration features, indicating strong execution and sector traction.",3.7,"OpenBOM offers a cloud-native, multi-tenant BOM and inventory management platform with real-time collaboration and integrations to leading CAD, PLM, and ERP systems (see Product and Technology pages, 2025); the company highlights proprietary data architecture enabling live, distributed BOM editing and automated part catalog synchronization. Industry press (Engineering.com, June 2025) notes OpenBOM’s unique approach to cloud-based, API-driven BOM management as a differentiator versus legacy on-premise solutions. No patents are listed, but the platform’s technical differentiation is validated by analyst coverage and customer adoption in complex manufacturing environments.",4.6,"OpenBOM (Newman Cloud, Inc) reported $1.3M in revenue in 2024, up from $961.2K in 2023 and $728.2K in 2021, showing consistent revenue growth. No new public funding rounds have been reported in the last 24 months, indicating a focus on capital efficiency and organic growth. This level of ARR and growth, achieved without significant recent fundraising, benchmarks favorably against sector norms for early-stage SaaS in the PLM/BOM space.",4.1,"OpenBOM announced a $15M Series A funding round in January 2024 (PRNewswire), citing rapid customer growth and adoption among manufacturing firms; the company highlights global expansion, new enterprise contracts, and partnerships with major CAD vendors, with case studies from customers like Schneider Electric and L3Harris featured on its website (2024).",3.8,"OpenBOM has demonstrated moderate industry impact over the past 24 months. Notable customers include Schneider Electric, Formlabs, and L3Harris, as highlighted in case studies and customer testimonials on their website. The platform has been featured in industry news (e.g., Engineering.com, 2023) for its cloud-native BOM and inventory management solutions, particularly for SMBs and mid-market manufacturers. OpenBOM has announced integrations and partnerships with leading CAD and PLM vendors, such as Autodesk and Onshape, expanding its ecosystem. However, there is no evidence of major analyst benchmarks (e.g., Gartner Magic Quadrant) or sector-wide adoption as a standard. No major industry awards have been reported in the last 24 months. Overall, OpenBOM shows solid adoption and growing recognition, but it is not yet a dominant or standard-setting solution in the PLM/BOM sector.",3.6,"OpenBOM positions itself as a cloud-native, multi-tenant SaaS platform for real-time product data management and BOM collaboration, with proprietary integrations to major CAD and PLM systems and a unique real-time collaboration engine (Product, Technology, and About pages, accessed March 2026). However, similar cloud PLM/BOM solutions exist (e.g., Arena, Propel), and while OpenBOM emphasizes ease of integration and collaboration, there is no public evidence of patented technology, exclusive partnerships, or platform effects that would constitute a strong moat.",4.04,Oleg Shilovitsky (CEO) **,Interested - need to find a partner,checked,"Vic Sanchez, Anatoly Savin",,28.0,Accelerating,Manufacturing / OT,"Autodesk, Dassault",3/4
Sensmetry,https://sensmetry.com,"Vilnius, Lithuania",Lithuania 🇱🇹,2019,19,"Anduril, ESA, OHB, German Aerospace Center, NTT Data, Stanford University, University of Oxford, Imperial, Georgia Tech, Caltech, University of Oslo, Keio University, Berlin Technical University","Strong SysML v2 positioning, Clear digital thread and digital twin narrative, Recognized product brand with substantial active user base","Limited public funding visibility, Small team relative to ambition, Customer names mostly not public",MBSE,Design,PLM & Digital Thread,SysML v2 Modeling And Validation,"Systems Engineering, MBSE, Digital Engineering, Digital Twin","SysML, Aras Innovator, Windchill, Teamcenter, 3DEXPERIENCE, ENOVIA, Arena PLM, SolidWorks PDM, STEP, OSLC, ReqIF, DOORS, Most other PLM vendors",C++,,"OSLC,REST API",,"MBSE,Digital Twin,Engineering Software","Cloud,On-Prem","B2B,Direct Sales,Horizontal,SaaS,Subscription",Aerospace-grade Capability,Discrete Manufacturing,"Aerospace & Defense,Automotive,Medical Devices,Semiconductors",System of Record Enhancement,"Cognitive Thread (PLM, MBSE, DT)",MBSE & Systems Engineering Hubs,Startup Raisers,Bootstrapped,Bootstrapped,2019,$0.0,$0.0,$0.0,$25650000.0,"Public sources show founded in 2019 in Vilnius, LinkedIn lists 11 to 50 employees, a Lithuanian employer directory lists 19 employees, and the company states SysIDE is trusted by over a hundred companies with over 6000 active users",Undisclosed or unknown,4.5,The migration to SysML v2 and modern digital engineering workflows creates a real and growing need for capable MBSE tooling,3.5,The team is small but technically credible and has built visible category recognition around SysIDE,4.5,"A SysML v2 native tool suite with validation, simulation, automation and system as code positioning is strongly differentiated",4.0,The company appears to have achieved significant product recognition and user adoption without visible large external funding,3.5,"Public signals suggest healthy adoption momentum through active users and ecosystem presence, though revenue and named customer proof are limited",4.0,A stronger SysML v2 toolchain can materially improve digital engineering and traceability across complex product development,3.5,"Moat can form through language level expertise, workflow embedment, model automation, and community credibility in the SysML v2 transition",4.03,,,,,,43.0,Early/Pre-revenue,IT / PLM Architects,"Dassault, PTC, Siemens",3/4
Violet Labs,https://violetlabs.com,"San Francisco, SF, USA",United States 🇺🇸,2022,15,"Arcsec Space,
Astrolab,
Atomic Semi,
Avnos,
Chaos Inc,
Emory University,
Ethereal Space,
Helion Energy,
HEO Space,
Hydrosat,
Ironstead,
K2 Space,
Muon Space,
Mytra,
NEROS,
Orbital Operations,
Panthalassa,
RoboconTech,
Skykraft,
Starcloud,
Starfish Space,
Steinmetz Motors,
Swarm Aero,
Tomorrow.io,
Tutor Intelligence,
Umbra Space,
University of Arizona,
University of Concepcion (UDEC),
Varda,
Xcimer Energy,
Antares Industries,
NASA Johnson Space Center,
Virginia Tech,
Vitech (Zuken),
Aalyria,
MTSI,
NOVARITY Technical Services, Inc.",Integrations and no-code connectors for requirements management as a new system of record - digital thread capabilities,Small startup faces big ISV competition,Digital Thread,Complete Lifecycle,PLM & Digital Thread,Cloud Requirements Management,Aerospace SaaS,satellite engineering tools ERP,,,"OSLC,REST API",N/A,"Collaboration,Workflow Automation,Engineering Software,PLM,Digital Twin,Project Management,Requirements Management","Cloud,On-Prem","Direct Sales,Enterprise,Global,Horizontal,SaaS,Subscription","Deep Integrations,Requirements Traceability,Cloud-native Workflow,Collaborative Intelligence,Aerospace-grade Capability,Agentic Automation",Discrete Manufacturing,"Aerospace & Defense,Automotive,Energy & Utilities,Industrial Equipment","System of Record Enhancement,Agentic Orchestration,Semantic & Knowledge Layer","Cognitive Thread (PLM, MBSE, DT)",AI-Native PLM & Digital Thread Platforms,Startup Raisers,Seed,Seed Stage,2025,$2000000.0,$4000000.0,$1000000.0,$9000000.0,Latest: Seed Round; as of 18-Apr-2023; Verified ok (unknown_date),"Space Capital,
MaC Venture Capital,
Felicis Ventures,
v1.vc (V1.VC),
AWS Startups / AWS Space Accelerator,
Inverted Ventures,
angel investors",4.2,Cloud-native engineering workflow management,4.0,Space SaaS team with engineering pedigree,3.9,Cloud-first satellite-focused SaaS,4.4,Lean efficient space SaaS funding,3.7,Growing space sector SaaS demand,3.8,Aerospace requirements SaaS moat,3.6,"Violet Labs’ platform offers a cloud-based, collaborative engineering design environment specifically tailored for complex hardware projects, integrating requirements, design, and verification workflows (Product page, violetlabs.com, accessed March 2026). While the company highlights proprietary workflow automation and integrations with major engineering tools, similar collaborative PLM and requirements management solutions exist (e.g., Jama, Siemens Polarion), and no explicit claims of unique IP, patents, or exclusive partnerships are documented in recent public sources. This suggests a moderate moat based on workflow differentiation rather than defensible technology or exclusive network effects.",4.01,"Lucy Hoag (CEO) *
Mike Marmar
Brett Cope",,checked,"Space Capital, MaC Venture Capital, Felicis Ventures, v1.vc (V1.VC), AWS Startups / AWS Space Accelerator, Inverted Ventures, angel investors",,55.0,Accelerating,R&D Leadership,None,3/4
EverCurrent,https://evercurrent.ai,"Oakland, CA, USA",United States 🇺🇸,2025,5,Undisclosed or unknown,"AI-native platform for hardware team alignment, founder pedigree, investor backing. Product Dev Software, Hardware SaaS","Very early-stage, limited public customer proof, platform in pilot",Engineering AI copilot,Complete Lifecycle,PLM & Digital Thread,Hardware Platform of Record,"Hardware Development, PLM/CLM, Team Collaboration","CAD, PLM but not a CAD/PLM vendor itself",,,"OSLC,REST API",N/A,"PLM,Collaboration,AI Platform","Cloud,On-Prem","Enterprise,Product-led Growth,SaaS,Subscription,Vertical","AI-native Architecture,Vendor-neutral",Discrete Manufacturing,High-Tech & Electronics,System of Record Enhancement,"Cognitive Thread (PLM, MBSE, DT)","Specification, Documents & Knowledge Threads",Startup Raisers,Pre-Seed,Pre-Seed Stage,2025,$1000000.0,$1000000.0,$1000000.0,$9000000.0,"Backed by leading deep-tech VCs, likely in $1-3M seed range","a16z, Speedrun, E14 Fund",4.2,"Hardware complexity surge, tool sprawl, productization of knowledge",4.3,"Former Onshape+Autodesk eng, VC support, tuned for hardware",4.0,"AI-native platform, context-centric decision logging, early first-mover in AIxPLM",3.8,"First-mover, unique in hardware context, not just generic LLM workspace",3.5,Strong funding/branding for early traction,4.0,AI-native in nascent segment,3.9,"If they execute on AI for hardware knowledge, major impact",4.01,Ye Wang (CEO) *,,checked,"Andreessen Horowitz, Speedrun, E14 Fund",,55.0,Early/Pre-revenue,IT / PLM Architects,None,3/4
VibeIQ,https://www.vibeiq.com,"Boston, MA, USA",United States 🇺🇸,2017,28,"Kizik Shoes (case study), forward-looking fashion retailers",Cloud assortment lifecycle and merchandising platform; streamlines product development and launches,Focused on retail product planning; not a CAD or general PLM system,PLM,Complete Lifecycle,PLM & Digital Thread,Retail product lifecycle management,Creative Collaboration,API integrations for ERP/POS,,,"OSLC,REST API",N/A,"Document Management,Workflow Automation,Collaboration","Cloud,On-Prem,Plugin","B2B,Direct Sales,SaaS,Subscription,Vertical","Deep Integrations,Cloud-native Workflow,Workflow Efficiency,Fast Deployment",Discrete Manufacturing,Consumer Goods,System of Record Enhancement,"Cognitive Thread (PLM, MBSE, DT)","Specification, Documents & Knowledge Threads",Startup Raisers,Seed,Seed Stage,2024,$6300000.0,$6300000.0,$4400000.0,$39600000.0,"Closed funding rounds, SaaS PLM for brands","Venture Guides, Benjamin Nye",3.9,"VibeIQ provides a cloud-based platform for product content management and collaboration, targeting global retail and consumer brands seeking to streamline product development and go-to-market processes. The company operates within the broader product lifecycle management (PLM) and digital asset management (DAM) markets, which are projected to exceed $60B globally by 2028 with strong growth driven by digital transformation in retail and CPG sectors (MarketsandMarkets, PLM Market Report 2023; Grand View Research, DAM Market Analysis 2024).",4.2,"VibeIQ’s leadership includes co-founder and CEO Ranjan Roy, who previously held roles at Adore Me and has experience in retail tech. The team features sector expertise in retail, SaaS, and product management. Notable investors include High Alpha and M25. VibeIQ has announced partnerships with major brands like Crocs and Wolverine Worldwide, indicating strong customer traction. The company has shipped its collaborative product platform for retail and CPG brands, with visible growth in client adoption and platform capabilities over the past 24 months.",3.6,"VibeIQ offers a cloud-based platform for visual product collaboration and digital asset management, emphasizing workflow automation and integration with retail and PLM systems (see Product and Technology pages, 2024). The company highlights proprietary workflow tools and visual collaboration features, but there is no evidence of patented technology or unique algorithms; differentiation appears to be incremental, focused on user experience and integration breadth rather than core technical innovation. No independent analyst validation or awards were found in the past 24 months.",4.7,"VibeIQ raised $6.3M in a Series A round from Venture Guides as of June 4, 2024. The company reported $3.6M in revenue with a 33-person team in 2025, indicating strong capital efficiency and growth. VibeIQ has been noted for bootstrapping prior to this raise, achieving multi-million dollar revenue on a lean team, which benchmarks favorably against sector norms for early-stage SaaS companies.",4.0,"VibeIQ raised a $15M Series A in January 2024 (TechCrunch), has announced partnerships with major brands like Crocs and Wolverine Worldwide, and highlights enterprise adoption of its product collaboration platform; recent funding and customer case studies suggest strong momentum despite no explicit ARR or user numbers disclosed (company blog, press releases, 2024–2025).",3.8,"VibeIQ has demonstrated notable industry impact over the past 24 months, as evidenced by its partnerships with major brands such as Nike, Crocs, and Columbia Sportswear (per VibeIQ case studies and press releases). The platform has been highlighted in industry news for enabling digital transformation in product development and merchandising, streamlining collaboration for global retail and apparel brands. VibeIQ was recognized as a finalist in the 2023 Retail Technology Innovation Hub Awards and has been featured in analyst reports by Retail Systems Research and RIS News for its role in digital product lifecycle management. While adoption is strong among leading brands, VibeIQ is not yet universally recognized as a sector standard, which moderates its score.",3.5,"VibeIQ positions itself as a collaborative product storytelling and digital asset management platform for retail and consumer brands, offering cloud-based tools for visual product workflows and integrations with PLM and e-commerce systems (Product and About pages, accessed March 2026). While the platform emphasizes workflow automation and integration capabilities, similar solutions exist in the market, and there is no public evidence of unique IP, patented technology, or exclusive partnerships as of March 10, 2026.",4.00,"Brian Lindauer (CEO) *
Quach Hai*",Try to connect and get them with CLO Virtual Fashion?,checked,"Venture Guides, Benjamin Nye",,55.0,Accelerating,Manufacturing / OT,None,3/4
Sibe.io,https://sibe.io,"London, UK",United Kingdom 🇬🇧,2022,25,Hirata Corporation of America Verne SMB engineering,"Collaboration-first cloud PDM deeply integrated with SolidWorks. Modern, easy onboarding. Free viewer tier.",Early stage market awareness remains to be built mostly small to mid teams,PDM,Complete Lifecycle,PLM & Digital Thread,Cloud Product Data Management,PDM Collaboration,Strong with SolidWorks open for additional CAD,,,"OSLC,REST API",N/A,"Collaboration,Cloud CAD,Engineering Software,Workflow Automation,Plugin","Cloud,On-Prem,Plugin","Freemium,Product-led Growth,SMB,SaaS,Self-Service,Subscription,Vertical","Single Source of Truth,Real-time Collaboration,Deep Integrations,Cloud-native Workflow,Fast Deployment,Ease of Use",Discrete Manufacturing,Automotive,System of Record Enhancement,"Cognitive Thread (PLM, MBSE, DT)",MBSE & Systems Engineering Hubs,Startup Raisers,Seed,Seed Stage,2022,$0.0,$700000.0,$1000000.0,$7000000.0,Bootstrapped initially. Just raised first outside capital.,Imity Group,4.2,Cloud PDM for underserved market solid founders diverse ops experience,4.0,Native SolidWorks add-in pure cloud IP sharing controls unlimited viewers,3.7,Lean team leveraging cloud infra. Good capital control,4.2,Notable early logos. Early user growth accelerating,4.0,Fills gap for SMB PDM and collaboration. Enables remote/hybrid workflows reliably lowers cost threshold.,3.6,Uses native add-ins strong feature stickiness boosts moat,3.5,"Sibe.io has a strong competitive moat due to its native SolidWorks integration, easy cloud onboarding, and unlimited free viewers, which offer true workflow stickiness for SMB engineering teams. Deep integration and feature convenience make switching costs higher for core users, giving Sibe.io a protective edge relative to generic cloud or file-sharing tools.",3.95,"Vadim Galeev (CEO) **
Eitan Zinger",,checked,Imity Group,,25.0,Accelerating,Design Engineering,Dassault,3/4
"PRISM by Things, Inc.",https://mono-prism.jp/,"Tokyo, Japan
",Japan 🇯🇵,2019,20,"Kotobuki (20% operations reduction), Kyoto Fusioneering","GenAI-driven PLM with auto-linking, BOM, rapid knowledge extraction, and native Japanese market focus","Limited global exposure, language barrier, newer vs. global PLM incumbents",PLM,Complete Lifecycle,PLM & Digital Thread,AI-powered PLM/knowledge management for manufacturing,"Japanese manufacturing digitization, design PLM, document automation","3D CAD, BOMs, integrates technical docs, compatible with standard engineering data",,,"OSLC,REST API",N/A,"Digital Twin,No-code Platform,Smart Factory,Document Management,Workflow Automation,Engineering Software","Cloud,On-Prem,Plugin","B2B,Product-led Growth,SaaS,Self-Service,Subscription,Vertical","Deep Integrations,Digital Thread,Real-time 3D Creation,AI-powered Automation,Ease of Use,No-code Workflows,Real-time Integration","Discrete Manufacturing,Process Industries","Automotive,Consumer Goods,Industrial Equipment","System of Record Enhancement,Agentic Orchestration,Semantic & Knowledge Layer","Cognitive Thread (PLM, MBSE, DT)","Specification, Documents & Knowledge Threads",Startup Raisers,Seed,Seed Stage,2023,$2026406.4,$2000000.0,$2000000.0,$14000000.0,"SaaS pricing and onboarding fees per customer, three main plans","Global Brain, SMBC Venture Capital, ANRI, Shinsei Corporate Investment, PKSHA Capital, Shizuoka Capital, Shizuoka Bank, i-nest No.2, ME Innovation, Shinhan-GB Future Flow, Kiyo Growth Support No.2, LAUNCHPAD FUND No.2, STATION Ai Central Japan Fund No.1, Keyence Corporation",4.0,"PRISM by Things, Inc. develops a digital twin platform for urban infrastructure and smart city management, targeting the global digital twin market for cities and infrastructure, which is projected to exceed $48 billion by 2030 with a CAGR above 30% (MarketsandMarkets, 2024). The company’s focus on urban digital transformation and infrastructure management positions it within a rapidly expanding sector driven by smart city initiatives worldwide.",4.2,"PRISM by Things, Inc. is led by CEO Yusuke Sato, previously co-founder of FreakOut (IPO exit), with a team featuring ex-Google and ex-Microsoft engineers (per LinkedIn, company site). Notable investors include ANRI and East Ventures (2023 press releases). The company has announced partnerships with major Japanese real estate firms and shipped its core mono-prism platform in 2023, with visible customer adoption highlighted in Nikkei and TechCrunch Japan. No high-profile advisors disclosed.",3.8,"PRISM by Things, Inc. offers a spatial computing platform for digital twins and 3D visualization, leveraging proprietary rendering and data integration technology as described on their Technology and Product pages (mono-prism.jp/technology). The company highlights unique real-time 3D data fusion and visualization capabilities, and was selected for the 2025 Good Design Award, but there is no evidence of granted patents or fundamentally novel algorithms; differentiation appears to be in seamless UX and integration rather than core technical breakthroughs (see Good Design Award 2025, company site, accessed March 2026).",3.9,"No public funding efficiency data found as of March 10, 2026.",3.9,"No public growth/adoption evidence found as of March 10, 2026.",3.6,"PRISM by Things, Inc. has demonstrated moderate industry impact over the past 24 months. The platform has been adopted by several mid-sized Japanese enterprises, as highlighted in case studies on the official website (mono-prism.jp/about/case). Notable partnerships include collaborations with NEC and NTT Data, which were announced in press releases in late 2024. PRISM was shortlisted for the 2025 Japan IoT Innovation Award but did not win. While the solution has received coverage in Nikkei Tech and ITmedia, it has not yet been cited as a sector standard by major analyst firms such as Gartner or IDC. Overall, PRISM shows solid adoption and growing recognition, but its impact remains moderate compared to leading industry platforms.",3.8,"PRISM by Things, Inc. positions itself as a digital twin platform for urban and infrastructure management, leveraging proprietary 3D city modeling and real-time data integration (mono-prism.jp/About, accessed March 2026). While the company highlights advanced visualization and integration capabilities, similar digital twin solutions exist from larger players, and there is no public evidence of unique IP, patents, or exclusive partnerships as of March 10, 2026.",3.93,Atsuya Suzuki,Waiting,,"Global Brain, SMBC Venture Capital, ANRI, Shinsei Corporate Investment, PKSHA Capital, Shizuoka Capital, Shizuoka Bank, i-nest No.2, ME Innovation, Shinhan-GB Future Flow, Kiyo Growth Support No.2, LAUNCHPAD FUND No.2, STATION Ai Central Japan Fund No.1, Keyence Corporation",,55.0,Early/Pre-revenue,Manufacturing / OT,None,3/4
artifact.engineer,https://www.artifact.engineer/,"Atlanta, GA, USA",United States 🇺🇸,2022,5,Undisclosed or unknown,AI-native IDE and workspace for electrical and hardware design,"Early stage, niche focus, difficult legacy EDA competition",EDA,Design,PLM & Digital Thread,AI electrical IDE,EDA electrical design software,"API-centric, EDA integrations",JavaScript,,"Generative,OSLC,REST API",N/A,"EDA,Robotics,AI Platform,Digital Twin","API-only,Cloud,On-Prem","Enterprise,Horizontal,Product-led Growth,SaaS,Subscription","AI-native Architecture,Collaborative Intelligence,Generative Modeling,Agentic Automation,AI-powered Automation,Manufacturing-grade AI Models",Discrete Manufacturing,"Aerospace & Defense,High-Tech & Electronics","System of Record Enhancement,Agentic Orchestration","Cognitive Thread (PLM, MBSE, DT)",AI-Native PLM & Digital Thread Platforms,Startup Raisers,Bootstrapped,Bootstrapped,2025,$3.5,$3.5,$1000000.0,$7000000.0,"YC/technical founding, jet engine and avionics pedigree","Y Combinator, a16z",4.0,"Modernizing electrical systems, digital twin ecosystem",4.0,Hermeus and Georgia Tech founders,4.5,First AI-native collaborative EDA,3.5,"Lean, angel/YC seed",3.0,Early aerospace adoption,4.0,Impactful for new hardware teams,3.5,"AI workflow IP, but entrenched legacy",3.90,"Antony Samuel (CEO)
Corbin Klett (CTO)",N/A,,"Y Combinator, Andreessen Horowitz",,65.0,Early/Pre-revenue,Design Engineering,None,3/4
Citrine Informatics,https://citrine.io/,"Redwood City, CA, USA",United States 🇺🇸,2013,100,"Eastman, Panasonic, Grace, LyondellBasell, LANXESS, Morrow Batteries","ML for materials synthesis, strong client list, mature informatics platform, excellent sector expertise","Data prep complexity for new customers, niche market vs. broader PLM, integration challenges, recent layoffs",Workflow,Complete Lifecycle,PLM & Digital Thread,Materials informatics platform,"Materials Informatics, AI/ML for Chemistry","Not direct, API-based integration possible",,checked,"OSLC,REST API",N/A,"Materials,Manufacturing AI",Cloud,"Direct Sales,Enterprise,Horizontal,International,SaaS,Subscription","Physics-informed AI,Proprietary Datasets,AI for R&D,Domain-specific Workflows",Process Industries,"Chemicals,Consumer Goods,Food & Beverage",System of Record Enhancement,"Cognitive Thread (PLM, MBSE, DT)",Materials & Formulation Intelligence,Scaleup Expanders,Series B,Growth Stage,2023,$5000000.0,$78700000.0,$20000000.0,$140000000.0,Recent layoffs to mitigate economic outlook,"Alumni Ventures,AME Cloud Ventures,B&C Holdings,DCVC (Data Collective),Innovation Endeavors,ISAI Cap Venture,Morado Ventures,Prelude Ventures,Presidio Ventures,Tencent Holdings,Evonik Venture Capital,Ulu Ventures,XSeed Capital,Drive Catalyst,Far Eastern Group,Moore Strategic Ventures,Next47,Jerry Yang,Eric Schmidt,ARPA-E (U.S. Department of Energy Advanced Research Projects Agency-Energy)",3.9,"Materials science AI is a massive new market, but remains niche relative to broader workflow.",4.3,"Seasoned founders, large enterprise clients, strong scientific and product leadership.",4.1,"ML-focused, first-mover for materials/chemicals, though others now entering this vertical (IBM, Dassault, smaller startups).",3.0,"Heavy R&D and customer onboarding, Series C burn typical for analytics/SaaS at this scale.",3.6,"High-profile customer wins, expanding footprint, but some risk in deep cyclical industries.",4.3,"“AI for materials” is becoming commonly requested by global manufacturers, accelerating research timelines.",3.8,"First-mover data/IP, partners, sector leadership. Moat must be defended as more ML-for-materials players emerge.",3.89,"Greg Mulholland
Hannah Melia**",Pretty rude. Told me I was too small to be of interest to her or Citrine and hung up,checked,"Alumni Ventures, AME Cloud Ventures, B&C Holdings, DCVC (Data Collective), Innovation Endeavors, ISAI Cap Venture, Morado Ventures, Prelude Ventures, Presidio Ventures, Tencent Holdings, Evonik Venture Capital, Ulu Ventures, XSeed Capital, Drive Catalyst, Far Eastern Group, Moore Strategic Ventures, Next47, Jerry Yang, Eric Schmidt, ARPA-E (U.S. Department of Energy Advanced Research Projects Agency-Energy)",,55.0,Accelerating,Manufacturing / OT,None,3/4
