Name;Company URL;Technology Independence Score;Ecosystem Dependencies;Growth Momentum Tier;Buyer Persona
Pave Robotics;https://pave-robotics.com;55;None;Early/Pre-revenue;Operations Executives
trace.space;https://www.trace.space/;55;None;Accelerating;R&D Leadership
Intact Solutions;https://intact-solutions.com;55;None;Early/Pre-revenue;Simulation Teams
Juno;https://www.juno.tech/;55;None;Accelerating;Operations Executives
Convai;https://www.convai.com;63;None;Accelerating;Simulation Teams
Reynko;https://reynko.com/;60;None;Early/Pre-revenue;Design Engineering
Donut Labs;https://www.donutlab.com/;40;None;Accelerating;Manufacturing / OT
MosaicMFG;https://mosaicmfg.com/;63;None;High Growth;Manufacturing / OT
Voxel;https://www.voxelai.com/platform;40;None;Accelerating;Supply Chain / Logistics
Cortex AI;https://cortexrobot.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Gradient Control;https://www.gradientcontrol.com/;65;None;Early/Pre-revenue;Manufacturing / OT
Guaeca;https://guaeca.com;65;None;Early/Pre-revenue;Manufacturing / OT
Kaedim;https://kaedim.com;50;None;Accelerating;Design Engineering
Mech-Mind Robotics;https://www.mech-mind.com;55;None;High Growth;Manufacturing / OT
SeekMake;https://seekmake.com/home;63;None;Early/Pre-revenue;Manufacturing / OT
Kyrall;https://kyrall.com;63;None;Early/Pre-revenue;Design Engineering
planeus;https://planeus-solutions.com/en/;55;None;Early/Pre-revenue;Manufacturing / OT
EverCurrent;https://evercurrent.ai;55;None;Early/Pre-revenue;IT / PLM Architects
LimitlessCNC;https://www.limitlesscnc.ai/;20;Siemens;Early/Pre-revenue;Manufacturing / OT
Daedalus;https://daedalus.com;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
CustoMED;https://CustoMED.ai;55;None;Accelerating;R&D Leadership
Ageiro;https://ageiro.global/;43;Dassault, PTC, Siemens;Early/Pre-revenue;IT / PLM Architects
Ember Robotics;https://www.emberrobotics.com;55;None;Early/Pre-revenue;Operations Executives
BaseTwo;https://www.basetwo.ai;55;None;Accelerating;Manufacturing / OT
LandingAI;https://landing.ai;55;None;Accelerating;Operations Executives
Extropic;https://extropic.ai/;55;None;Early/Pre-revenue;Simulation Teams
Kraaft;https://www.kraaft.com/en;53;Autodesk;Accelerating;Operations Executives
NavierAI;https://www.navier.ai;65;None;Early/Pre-revenue;Simulation Teams
Generative Engineering;https://generative.vision/;63;None;Early/Pre-revenue;Manufacturing / OT
Manukai;https://www.manukai.ch/;65;None;Early/Pre-revenue;Manufacturing / OT
Arbor;https://www.findarbor.com;55;None;Early/Pre-revenue;Operations Executives
Istari Digital;https://www.istaridigital.com/;55;None;Accelerating;Operations Executives
Piggy Robotics;https://piggyrobotics.com;63;None;Early/Pre-revenue;R&D Leadership
HighByte;https://www.highbyte.com;65;None;Accelerating;Manufacturing / OT
SUFFISCIENS;https://suffisciens.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Intelecy;https://www.intelecy.com;55;None;Accelerating;Manufacturing / OT
WorkHero;https://www.workhero.pro/;55;None;Accelerating;Operations Executives
Sculpt;https://www.sculpt.dev;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Pico MES;https://www.picomes.com/;50;None;Accelerating;Manufacturing / OT
Built Robotics;https://builtrobotics.com;55;None;Accelerating;Manufacturing / OT
Spendkey;https://www.spendkey.io;40;None;Steady;Manufacturing / OT
Acceleer;https://acceleer.com/#/;55;None;Early/Pre-revenue;Manufacturing / OT
AeroAI;https://aeroai.io;55;None;Accelerating;Design Engineering
BuildVision;https://www.buildvision.io/;63;None;Accelerating;Supply Chain / Logistics
Twinview;https://twinview.com;55;None;Accelerating;Design Engineering
Fabriq;https://www.fabriq.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Parallel Fluidics;https://www.parallelfluidics.com/;50;None;Steady;R&D Leadership
Nullspace, Inc;https://nullspaceinc.com;65;None;Accelerating;Simulation Teams
CoFactr;https://www.cofactr.com;65;None;Accelerating;Supply Chain / Logistics
Industrial Next;https://industrialnext.ai;55;None;Accelerating;Manufacturing / OT
Phasio;https://phas.io;63;None;Early/Pre-revenue;Simulation Teams
SPREAD;https://spread.ai;65;None;Accelerating;Manufacturing / OT
Mak3r.ai;https://www.mak3r.ai/;50;None;Accelerating;Manufacturing / OT
Leap71;https://leap71.com;50;None;Early/Pre-revenue;Simulation Teams
General Astronautics;https://generalastro.com/;55;None;Early/Pre-revenue;R&D Leadership
ToffeeX;https://toffeex.com;63;None;Accelerating;Simulation Teams
That Open Company;https://thatopen.com/;53;Autodesk;Early/Pre-revenue;Design Engineering
Spherene;https://spherene.ch/;55;None;Early/Pre-revenue;Manufacturing / OT
Duranium;https://www.duranium.co;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Sense;https://sense.com;70;None;Accelerating;Manufacturing / OT
Fab.ai;https://fabai.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Coreflux;https://www.coreflux.org;55;None;Early/Pre-revenue;Manufacturing / OT
Divergent;https://divergent3d.com;55;None;High Growth;Manufacturing / OT
Compute Maritime;https://www.computemaritime.com/;55;None;Early/Pre-revenue;Design Engineering
Doxel;https://doxel.ai;53;Autodesk;Accelerating;Operations Executives
Bright Machines;https://www.brightmachines.com;55;None;Accelerating;Manufacturing / OT
LinCode Labs, Inc.;https://lincode.ai;55;None;Early/Pre-revenue;Quality / Inspection
AON3D;https://www.aon3d.com/;55;None;Accelerating;Manufacturing / OT
Inertia Systems;https://www.inertiasystems.com/;55;None;Accelerating;Design Engineering
Omnea;https://www.omnea.co;40;None;Accelerating;Supply Chain / Logistics
Figurement;https://www.figurement.com;35;None;Early/Pre-revenue;R&D Leadership
Collimator;https://www.collimator.ai/;65;None;Accelerating;Simulation Teams
up2parts GmbH;https://www.up2parts.com;53;Dassault;Accelerating;Manufacturing / OT
Arkio;https://arkio.is;50;None;Early/Pre-revenue;Design Engineering
Jiga;https://jiga.io;50;None;Accelerating;Manufacturing / OT
aPriori;https://www.apriori.com/;39;Autodesk, Dassault, PTC, Siemens;Accelerating;Design Engineering
Wailand;https://www.wailand.io/en/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Regrello (acquired by Salesorce in 2025);https://www.regrello.com;55;None;Early/Pre-revenue;Supply Chain / Logistics
Leela AI;https://leela.ai/;40;None;Early/Pre-revenue;Manufacturing / OT
ConXtech;https://conxtech.com;70;None;Accelerating;Operations Executives
Surveily;https://surveily.com/;55;None;Accelerating;Manufacturing / OT
Vela;https://vela-ai.app;55;None;Early/Pre-revenue;Operations Executives
Oorja;https://oorja.energy;63;None;Accelerating;Simulation Teams
Mesh AG;https://mesh.ch;70;None;Early/Pre-revenue;Manufacturing / OT
Plans;https://www.plans.app;55;None;Accelerating;Operations Executives
Eleven Dynamics AG;https://11dynamics.com/;55;None;Accelerating;Quality / Inspection
CloudNC;https://cloudnc.com;35;Autodesk, Siemens;Accelerating;Manufacturing / OT
Bimspot;https://www.bimspot.io;55;None;Early/Pre-revenue;Design Engineering
Threedy;https://threedy.io;75;None;Accelerating;Manufacturing / OT
Sablono;https://www.sablono.com;55;None;Accelerating;Supply Chain / Logistics
Raven;https://www.raven.build;44;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
NC Vision (acquired by RockQ 2025);https://www.nc-vision.com;55;None;Early/Pre-revenue;Manufacturing / OT
Ara 3D;https://www.ara3d.com;53;Autodesk;Early/Pre-revenue;Design Engineering
Elephant AI;https://elephantai.io/;34;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Simulation Teams
Parsio;https://parsio.ai;55;None;Early/Pre-revenue;Manufacturing / OT
OpenBOM;https://openbom.com;28;Autodesk, Dassault;Accelerating;Manufacturing / OT
Proception Inc;https://proception.ai;63;None;Early/Pre-revenue;Manufacturing / OT
Gravity Sketch;https://www.gravitysketch.com;60;None;Accelerating;Design Engineering
General Trajectory;https://www.generaltrajectory.com;55;None;Early/Pre-revenue;Supply Chain / Logistics
OnScale (aquired by ANSYS in 2022);https://onscale.com;55;None;Stalled;Simulation Teams
AirWorks;https://airworks.io;65;None;Accelerating;Design Engineering
Redo.pro;https://www.redo.pro/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Loombotic;https://loombotic.com/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Cinqo;https://www.cinqo.fr/;55;None;Early/Pre-revenue;Supply Chain / Logistics
Litmus;https://litmus.io;65;None;Accelerating;Manufacturing / OT
Productive Machines;https://productivemachines.co.uk/;45;Siemens;Early/Pre-revenue;Manufacturing / OT
Nominal;https://nomimal.io;60;None;High Growth;Manufacturing / OT
Shapr3D;https://shapr3d.com;20;Siemens;Accelerating;Manufacturing / OT
Cusp AI;https://cuspai.com;55;None;Accelerating;R&D Leadership
Servo7;https://servo7.com;55;None;Early/Pre-revenue;Manufacturing / OT
CO2 AI;https://co2ai.com;43;Dassault, PTC, Siemens;Accelerating;Operations Executives
Simr (formerly UberCloud);https://www.simr.com/;52;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Automation Intelligence;https://www.autointel.io/;55;None;Early/Pre-revenue;Manufacturing / OT
Plevenn;https://www.plevenn.com/;55;None;Early/Pre-revenue;Manufacturing / OT
RD8;https://www.rd8.tech/;40;Dassault;Early/Pre-revenue;R&D Leadership
Noah;https://noahcad.com;47;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Lumafield;https://lumafield.com;55;None;High Growth;Quality / Inspection
OneLayer;https://www.onelayer.com;55;None;Accelerating;Manufacturing / OT
Falcomm;https://www.falcomm.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Momenta Ventures;;50;None;Stalled;R&D Leadership
XMPro;https://xmpro.com;40;None;Accelerating;Operations Executives
Oplit;https://www.oplit.com/en/;55;None;Early/Pre-revenue;Manufacturing / OT
Raiqon;https://raiqon.com/;65;None;Early/Pre-revenue;Manufacturing / OT
Holy Technologies;https://www.holy-technologies.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Cognyx;https://cognyx.io;65;None;Early/Pre-revenue;Manufacturing / OT
Flywheel AI;https://useflywheel.ai;55;None;Early/Pre-revenue;Manufacturing / OT
VibeIQ;https://www.vibeiq.com;55;None;Accelerating;Manufacturing / OT
Dusty Robotics;https://dustyrobotics.com;55;None;Accelerating;Manufacturing / OT
Foundation EGI;https://www.foundationegi.com;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Pelico;https://fr.pelico.ai;55;None;Accelerating;Supply Chain / Logistics
Leo AI;https://getleo.ai;55;None;Accelerating;R&D Leadership
NEURA Robotics;https://neura-robotics.com;55;None;High Growth;Manufacturing / OT
Fainite AG;https://www.fainite.com/;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Dessia;https://www.dessia.io/;40;Dassault;Accelerating;Manufacturing / OT
Orangewood Labs;https://www.orangewood.co;55;None;Accelerating;Manufacturing / OT
Insight Partners;;50;None;Stalled;R&D Leadership
TruTec;https://trutec.ai/;63;None;Early/Pre-revenue;Design Engineering
TilliT (acquired by Roima Intelligence in 2025);https://gotillit.com;55;None;Early/Pre-revenue;Manufacturing / OT
Viso Suite;https://viso.ai;60;None;Accelerating;Quality / Inspection
Azalea Robotics;https://www.azalearobotics.com;63;None;Early/Pre-revenue;Operations Executives
MOVEdot;https://movedot.ai;55;None;Early/Pre-revenue;Design Engineering
AMESA (formerly Composabl);https://www.amesa.com;70;None;Early/Pre-revenue;Manufacturing / OT
Aera Technology;https://www.aeratechnology.com;55;None;High Growth;Supply Chain / Logistics
Verne Robotics;https://www.vernerobotics.com;63;None;Early/Pre-revenue;Supply Chain / Logistics
Quilter;https://www.quilter.ai;63;None;Accelerating;R&D Leadership
Bison Ventures;;50;None;Stalled;Manufacturing / OT
Vitesse Automation;https://vitesseautomation.com/;55;None;Early/Pre-revenue;Manufacturing / OT
JitX;https://www.jitx.com;41;Autodesk, Dassault, PTC, Siemens;Accelerating;Design Engineering
Propel Software;https://www.propelplm.com;55;None;Accelerating;Manufacturing / OT
Zeon Systems;https://zeonsystems.ai;63;None;Early/Pre-revenue;R&D Leadership
Lambda Function;https://www.lambdafunction.ai/;40;Siemens;Accelerating;Manufacturing / OT
Eclipse;;50;None;Stalled;Manufacturing / OT
Arcol;https://arcol.io;63;None;Accelerating;Design Engineering
Flexxbotics;https://flexxbotics.com;55;None;Accelerating;Manufacturing / OT
3D Foundry Labs;https://3dfy.ai;65;None;Accelerating;Design Engineering
Zea;https://www.zeaengine.com/;65;None;Early/Pre-revenue;Manufacturing / OT
Instruct3D;https://www.instruct3d.io/;55;Autodesk, Dassault, Siemens;Early/Pre-revenue;Quality / Inspection
Vestigas;https://vestigas.com;53;Autodesk;Accelerating;Operations Executives
Merlin AI;https://www.merlinai.co/;63;None;Accelerating;Operations Executives
PT Blink;https://ptblink.com/;55;None;Accelerating;Design Engineering
Cenos;https://cenos-platform.com/;49;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
SolidProfessor (acquired by Hawk Ridge Systems in 2020);https://solidprofessor.com/;63;None;Steady;Educators
SpecRight;https://specright.com/;55;None;Accelerating;Supply Chain / Logistics
Teesas;https://www.teesas.com;55;None;Accelerating;Educators
One Robot;https://www.onerobot.io;55;None;Early/Pre-revenue;Simulation Teams
Human Archive;https://www.humanarchive.ai/;55;None;Early/Pre-revenue;R&D Leadership
Visure Solutions;https://visuresolutions.com;60;None;Steady;R&D Leadership
Unlog AB;https://unlog.aero/;43;Dassault, PTC, Siemens;Early/Pre-revenue;R&D Leadership
Maneva;https://www.maneva.ai;55;None;Early/Pre-revenue;Quality / Inspection
Guidewheel;https://www.guidewheel.com;50;None;Accelerating;Manufacturing / OT
CognaSIM;https://www.cognasim.com/;55;None;Early/Pre-revenue;Simulation Teams
Forge;https://forge-systems.tech/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Polymath Robotics;https://polymathrobotics.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Eigen Space Design;https://www.eigenstudio.org;57;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Pashi;https://pashi.com;55;None;Early/Pre-revenue;Manufacturing / OT
CADDi;https://us.caddi.com/;47;Autodesk, Dassault, PTC, Siemens;Accelerating;Manufacturing / OT
PLCcode.ai;https://plmcode.ai;55;None;Early/Pre-revenue;Manufacturing / OT
heatshape;https://www.heatshape.io/;63;None;Early/Pre-revenue;Simulation Teams
Cerebital (Nora IPLM);https://cerebital.com;43;Autodesk, Dassault;Early/Pre-revenue;Manufacturing / OT
Saeki;https://www.saeki.ch/;55;None;Early/Pre-revenue;Manufacturing / OT
Parter;https://parter.ai/;50;None;Accelerating;Manufacturing / OT
Track3D;https://track3d.ai;65;None;Accelerating;Operations Executives
Zoo;https://zoo.dev/;65;None;Early/Pre-revenue;Design Engineering
Epsilon3;https://epsilon3.io;55;None;Accelerating;Manufacturing / OT
Cybus;https://www.cybus.io/;55;None;Accelerating;Manufacturing / OT
SimScale;https://simscale.com;63;None;Accelerating;Simulation Teams
SomebodyMakeIt;https://somebodymakeit.com;55;None;Early/Pre-revenue;Operations Executives
Diabatix;https://www.diabatix.com;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Sloyd;https://sloyd.ai;65;None;Accelerating;R&D Leadership
Tandem AI;https://tandemai.io;58;Dassault;Accelerating;Design Engineering
Flexcompute;https://www.flexcompute.com/;65;None;Accelerating;Simulation Teams
Saildrone;https://www.saildrone.com;55;None;Accelerating;Operations Executives
Rebuild;https://www.rebuild.work/;63;None;Early/Pre-revenue;Design Engineering
Kwant.ai;https://kwant.ai;55;None;Accelerating;Manufacturing / OT
Monumo;https://monumo.com/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
BIMLOGIQ;https://bimlogiq.com;55;None;Early/Pre-revenue;Design Engineering
Hadrian;https://www.hadrian.co;40;None;Accelerating;Manufacturing / OT
Revise Robotics;https://www.reviserobotics.com/;63;None;Early/Pre-revenue;Manufacturing / OT
Smartex.ai;https://smartex.ai;65;None;Accelerating;Manufacturing / OT
Generalist AI;https://www.generalist-ai.com;55;None;Early/Pre-revenue;Supply Chain / Logistics
Acerta;https://acerta.ai;55;None;Accelerating;Quality / Inspection
Sensmetry;https://sensmetry.com;43;Dassault, PTC, Siemens;Early/Pre-revenue;IT / PLM Architects
PassiveLogic;https://passivelogic.com/;53;Autodesk;High Growth;Operations Executives
Sintavia;https://sintavia.com/;63;None;Accelerating;Manufacturing / OT
STILFOLD;https://www.stilfold.com/;55;None;Accelerating;Manufacturing / OT
Augury;https://www.augury.com;55;None;High Growth;Manufacturing / OT
MontBlancAI;https://www.montblanc.ai/en;55;None;Early/Pre-revenue;Manufacturing / OT
IntuitgenceAI;www.intuigence.ai;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
Sageview Capital;;50;None;Stalled;R&D Leadership
DigiFabster;https://digifabster.com/;63;None;Accelerating;Manufacturing / OT
Duro (acquired by Altium 2025);https://www.duro.com;55;None;Accelerating;Manufacturing / OT
Encube;https://www.getencube.com/;47;Autodesk, Dassault, PTC, Siemens;Accelerating;R&D Leadership
Taiyaki;https://taiyaki.ai/;55;None;Early/Pre-revenue;Manufacturing / OT
Struction;https://struction.co/landing;63;None;Early/Pre-revenue;Design Engineering
Hestus;https://hestus.co;55;None;Early/Pre-revenue;Manufacturing / OT
ARX Robotics;https://arx-robotics.com;55;None;Accelerating;Manufacturing / OT
Greenlight Guru (acquired by JMI Equity in 2021);https://www.greenlight.guru/;55;None;Stalled;Quality / Inspection
KREODx;https://www.kreodx.com;53;Autodesk;Early/Pre-revenue;Design Engineering
P-1 AI;https://p-1.ai;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Anduril;https://www.anduril.com;55;None;Accelerating;R&D Leadership
Seurat Technologies;https://www.seurat.com;47;Autodesk, Dassault, Siemens;Accelerating;Manufacturing / OT
Applied Intuition;https://www.appliedintuition.com;47;Dassault, Siemens;Accelerating;Simulation Teams
Makini;https://www.makini.io/;55;None;Early/Pre-revenue;Manufacturing / OT
Diagon;https://diagon.ai;55;None;Early/Pre-revenue;Manufacturing / OT
Caidio;https://caidio.io;55;None;Early/Pre-revenue;Design Engineering
RevisionDojo;https://www.revisiondojo.com;34;Autodesk, Dassault, PTC, Siemens;Accelerating;Educators
Bonx;https://www.bonx.com/;55;None;Accelerating;Manufacturing / OT
HiveMQ;https://hivemq.com;55;None;Accelerating;Operations Executives
Cadify.ai;https://Cadify.ai;55;None;Early/Pre-revenue;Design Engineering
AICA;https://www.aica.tech/;55;None;Early/Pre-revenue;Manufacturing / OT
Polymerize;https://polymerize.io;65;None;Accelerating;Simulation Teams
Emmi AI;https://www.emmi.ai;65;None;Accelerating;Simulation Teams
trinckle 3D Gmbh;https://www.trinckle.com/;65;None;Steady;Manufacturing / OT
JuliaHub;https://juliahub.com/;55;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Provision;https://provision.com/;63;None;Accelerating;Quality / Inspection
SprayVision;https://www.sprayvision.com;55;None;Early/Pre-revenue;Manufacturing / OT
CADchat (acquired by Court Square in 2025);https://cadchat.com;55;None;Early/Pre-revenue;Design Engineering
Hyperganic;https://www.hyperganic.com/;65;None;Accelerating;Manufacturing / OT
Axial Composites;https://www.axialcomposite.com;55;None;Early/Pre-revenue;Manufacturing / OT
Harmoni;https://harmoni.io/;55;None;Accelerating;Manufacturing / OT
Madaster Germany Gmbh;https://madaster.de;65;None;Steady;Design Engineering
Digel;https://www.digel.io/en;55;None;Early/Pre-revenue;Operations Executives
Anvyl (acquired by Sage in 2024);https://www.anvyl.com;40;None;Stalled;Supply Chain / Logistics
Tractian;https://tractian.com;55;None;Accelerating;Operations Executives
1000 Kelvin;https://1000kelvin.com;55;None;Accelerating;Manufacturing / OT
Makistry;https://makistry.com;63;None;Early/Pre-revenue;Design Engineering
Data Time Space;https://datatime.space/;40;None;Early/Pre-revenue;Manufacturing / OT
Cerrion;https://www.cerrion.com;55;None;Accelerating;Manufacturing / OT
Designair;https://www.designair.io/;55;None;Accelerating;Design Engineering
PRISM by Things, Inc.;https://mono-prism.jp/;55;None;Early/Pre-revenue;Manufacturing / OT
Rollup;https://rollup.build;50;Autodesk, Dassault, Siemens;Early/Pre-revenue;R&D Leadership
Digital Twin AI;https://digitaltwinai.co.uk/;55;None;Early/Pre-revenue;Manufacturing / OT
Skema.AI;https://Skema.AI;55;None;Accelerating;Design Engineering
Toolkit3D;https://www.toolkit3d.com;63;None;Early/Pre-revenue;Manufacturing / OT
DraftAid;https://draftaid.io;25;Autodesk, Dassault;Accelerating;Manufacturing / OT
Handoff;https://www.handoff.ai/;63;None;Accelerating;Operations Executives
SubHub;https://subhub.io/;63;None;Early/Pre-revenue;Manufacturing / OT
Inkwell Data, Ltd;https://inkwelldata.com;55;None;Early/Pre-revenue;Manufacturing / OT
Luminovo;https://luminovo.com/;50;None;Accelerating;Supply Chain / Logistics
Generative Vision;https://generative.vision/;65;None;Accelerating;Design Engineering
Pattern Project;https://www.pattern-project.com/;55;None;Early/Pre-revenue;Manufacturing / OT
LionsBot;https://lionsbot.com;50;None;Accelerating;Operations Executives
Mobius Materials;https://www.mobiusmaterials.com;50;None;Steady;Supply Chain / Logistics
Reframe;https://www.reframe.systems;47;Autodesk, Dassault, Siemens;Accelerating;Manufacturing / OT
Numorpho Cybernetic Systems (NUMO);https://numorpho.org/;55;None;Early/Pre-revenue;Manufacturing / OT
Scortex;https://www.scortex.io;55;None;Steady;Quality / Inspection
Sheetbuild;https://www.sheetbuild.com;63;None;Early/Pre-revenue;Manufacturing / OT
Neural Concept;https://neuralconcept.com;45;Dassault, Siemens;High Growth;Simulation Teams
Ironloop;https://www.ironloop.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Bill-X Gmbh;https://bill-x.io/;55;None;Early/Pre-revenue;Supply Chain / Logistics
Drafter;https://www.drafterinc.com;40;None;Accelerating;Design Engineering
Autodrop3D;https://www.autodrop3d.com;63;None;Early/Pre-revenue;Manufacturing / OT
Voxelgrid;https://voxelgrids.com;55;None;Accelerating;Design Engineering
Revel;https://revel.io/;55;None;Accelerating;Operations Executives
Viam;https://www.viam.com;55;None;High Growth;Manufacturing / OT
EltegraAI;https://www.eltegra.ai/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
rhobot.ai;https://rhobot.ai;40;None;Accelerating;Manufacturing / OT
Pasteur Labs & ISI;https://pasteurlabs.ai/;57;Dassault, Siemens;Early/Pre-revenue;Simulation Teams
Makersite Gmbh;https://makersite.io;65;None;Accelerating;Manufacturing / OT
NODE Robotics;https://www.node-robotics.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Parallax Worlds;https://www.parallaxworlds.com/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Simulation Teams
Seeq;https://www.seeq.com/;55;None;Accelerating;Manufacturing / OT
Endra;https://www.endra.ai/;55;None;Accelerating;Design Engineering
Unlimited Industries;https://www.unlimitedindustries.com/;63;None;Early/Pre-revenue;Operations Executives
Monolith (acquired by CoreWeave in 2025);https://monolithai.com;55;None;Accelerating;Simulation Teams
InfinitForm;https://infinitform.com;55;None;Early/Pre-revenue;Design Engineering
Flywheel Industries;https://flywheelindustrial.ai;55;None;Early/Pre-revenue;Operations Executives
BEAM;https://www.ibeam.ai/;63;None;Accelerating;Operations Executives
Physna;https://www.physna.com;49;Autodesk, Dassault, PTC, Siemens;Accelerating;Design Engineering
plus10;https://en.plus10.de;55;None;Early/Pre-revenue;Manufacturing / OT
Thread;https://www.threadai.com;43;Dassault, PTC, Siemens;Accelerating;Operations Executives
Companyon Venture Capital;;50;None;Stalled;R&D Leadership
Revizto;https://revizto.com/;55;None;Steady;Design Engineering
AutoPCB;https://autopcb.app;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Togal AI;https://togal.ai;55;None;Accelerating;Design Engineering
Bedrock Robotics;https://bedrockrobotics.com;55;None;Accelerating;Manufacturing / OT
Apprentice;https://www.apprentice.io;55;None;High Growth;Manufacturing / OT
Maihem;https://maihem.ai/;43;Dassault, PTC, Siemens;Early/Pre-revenue;Quality / Inspection
Omniscient;https://www.omniscient.co.uk;53;Dassault, PTC, Siemens;Early/Pre-revenue;Operations Executives
ShipReality;https://www.shipreality.com;43;Dassault, PTC, Siemens;Early/Pre-revenue;Manufacturing / OT
nuvo3D;https://nuvo3d.com/;39;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Rayon;https://www.rayon.design/;63;None;Accelerating;Design Engineering
Inversion Semiconductor;https://www.inversionsemi.com;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Plethora (bankruptcy in 2022);https://www.plethora.com/;47;Autodesk, Dassault, Siemens;Early/Pre-revenue;Manufacturing / OT
Sibe.io;https://sibe.io;25;Dassault;Accelerating;Design Engineering
Caracol;https://caracol-am.com;40;None;Accelerating;Manufacturing / OT
Azumuta;https://www.azumuta.com;55;None;Accelerating;Manufacturing / OT
Sedaro;https://www.sedaro.com/;63;None;Accelerating;Simulation Teams
Recloud;https://www.recloud.es;55;None;Steady;Quality / Inspection
H3D;https://h3d.ai/;55;None;Accelerating;Manufacturing / OT
Reshape Automation;https://www.reshapeautomation.com;60;None;Accelerating;Manufacturing / OT
Physical Fund;;50;None;Stalled;Manufacturing / OT
Bild;https://www.getbild.com/;55;None;Accelerating;R&D Leadership
Autumn Labs;https://autumnlabs.io/;55;None;Early/Pre-revenue;Manufacturing / OT
Cognitive Design by CDS;https://www.cognitive-design-systems.com;55;None;High Growth;Design Engineering
SourcePilot;https://sourcepilot.ai;47;Autodesk, Dassault, PTC, Siemens;Early/Pre-revenue;Design Engineering
Fort Robotics;https://www.fortrobotics.com/;63;None;Accelerating;Operations Executives
Carbon;https://carbon.ms;65;None;Accelerating;Manufacturing / OT
Dynisma;https://www.dynisma.com;55;None;Accelerating;Simulation Teams
Toolpath;https://toolpath.com;55;None;Accelerating;Manufacturing / OT
Visometry;https://visometry.com;65;None;Accelerating;Quality / Inspection
Dozuki (acquired by Marlin Equity Partners in 2021);https://dozuki.com;55;None;Early/Pre-revenue;Design Engineering
MaintainX;https://www.getmaintainx.com;55;None;High Growth;Operations Executives
Datch;https://www.datch.io;55;None;Accelerating;Manufacturing / OT
Bench;https://getbench.ai;48;Dassault, Siemens;Early/Pre-revenue;Design Engineering
Frontline.io;https://frontline.io;55;None;Accelerating;Manufacturing / OT
Imubit;https://imubit.com;55;None;Steady;Operations Executives
Hanomi AI;https://hanomi.ai;63;None;Early/Pre-revenue;Design Engineering
BIM Track (acquired by Newforma in 2021);https://bimtrack.co;47;Autodesk;Early/Pre-revenue;Design Engineering
Higharc;https://www.higharc.com;35;None;Accelerating;Design Engineering
PrototypeHubs (acquired by Prototek Manufacturing in 2024);https://prototypehubs.com/;55;None;Early/Pre-revenue;Manufacturing / OT
Hypar;https://hypar.io;55;None;Accelerating;Design Engineering
Vention;https://vention.io;55;None;High Growth;Manufacturing / OT
Zenesis;https://zenesis-planung.de/;55;None;Early/Pre-revenue;Design Engineering
SnapTrude;https://www.snaptrude.com;53;Autodesk;Accelerating;Design Engineering
Archilyse (bankruptcy in 2023);https://www.archilyse.com;55;None;Early/Pre-revenue;Design Engineering
General Catalyst;;50;None;Stalled;R&D Leadership
etalytics;https://etalytics.com/;55;None;Accelerating;Manufacturing / OT
Volcano Platform;https://www.volcanoplatforms.com/;63;None;Accelerating;Simulation Teams
Facilis AI;https://www.facilis.ai;55;None;Early/Pre-revenue;Manufacturing / OT
